chapter_name,qns
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 66  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 64  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6) "
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 73  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6) "
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 75  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 81  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 85  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 98  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 96  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 77  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,Count in sixes and find the number of batteries.
Counting and number patterns,Count in tens and find the number of circles.
Counting and number patterns,Count in twos and find the number of keys .
Counting and number patterns,Count in fives and find the number of tomatoes.
Counting and number patterns,Count in tens and find the number of cherries.
Counting and number patterns,Count in tens and find the number of boxes.
Counting and number patterns,Count in twos and find the number of stars. 
Counting and number patterns,Count in fives and find the number of teddy bears.
Counting and number patterns,Count in tens and find the number of lollipops.
Counting and number patterns,Count in fives and find the number of mobile phones.
Counting and number patterns,"Fill in the blank.  50, 55, 60, ______ ,70"
Counting and number patterns,"Fill in the blank.  50, 60 , 70, 80, _____, 100 "
Counting and number patterns,"Fill in the blank.  10, 15 ,20, 25, _____, 35, 40"
Counting and number patterns,"Fill in the blank. 40, 42, ____ , 46 ,48, 50  "
Counting and number patterns,"Fill in the blank.  20, 30, 40, 50, 60, ____, 80, 90, 100"
Counting and number patterns,"Fill in the blank.  52, 54, ____, 58, 60"
Counting and number patterns,"Fill in the blank.  70, 75, 80, ___ 90, 95"
Counting and number patterns,"Fill in the blank.  60, ___ ,80 , 90 , 100"
Counting and number patterns,"Fill in the blank.  12, 14 , 16, ____ ,20"
Counting and number patterns,"Fill in the blank.  75, 80, 85 , 90, ____, 100"
Counting and number patterns,"Fill in the blank.  21, 22, 23, 24, 25, 26, 27,____, 29, 30"
Counting and number patterns,"Fill in the blank.  11, 12, 13, 14, 15, 16,____, 18, 19, 20"
Counting and number patterns,"Fill in the blank. 21, 22, 23, 24, 25, ____ , 27, 28, 29, 30"
Counting and number patterns,"Fill in the blank.  31, 32, ____, 34, 35"
Counting and number patterns,"Fill in the blank.  55,56, ___, 58, 59, 60"
Counting and number patterns,"Fill in the blank.  60, 61, 62, ____, 64 , 65"
Counting and number patterns,"Fill in the blank.  2, 3, 4 , 5, ____, 7, 8"
Counting and number patterns,"Fill in the blank.  12, 13, 14, ____, 16"
Counting and number patterns,"Fill in the blank.  85, 86,  87, 88, ____ , 90"
Counting and number patterns,"Fill in the blank.  82, 83, 84, 85, ____ , 87, 88"
Counting and number patterns,"Fill in the blanks.  45, ____, ______, _____,_____, 50  (Note to students: Leave your answer in the form of a,b,c,d)"
Counting and number patterns,"Fill in the blanks.  ____, ____, _____,_____,28, 29,30  (Note to students: Leave your answer in the form of a,b,c,d)"
Counting and number patterns,"Fill in the blanks.  45, ____ , _____ , ____ , _____, 50  (Note to students: Leave your answer in the form of a,b,c,d)"
Counting and number patterns,"Fill in the blanks.  63, ____, _____, _____, ______, 68,69  (Note to students: Leave your answer in the form of a,b,c,d)"
Counting and number patterns,"Fill in the blanks.  95, ____, _____ , _____, _____, 100"
Counting and number patterns,What number comes before 7?
Counting and number patterns,What number comes before 16?
Counting and number patterns,What  number comes after 17?
Counting and number patterns,What number comes after 12?
Counting and number patterns,"Find the missing numbers. (Note to students : Leave your answer in the form of a,b in ascending order.)"
Counting and number patterns,"Find the missing numbers. (Note to students: Leave your answer in the form of a,b in ascending order)"
Counting and number patterns,What number comes before 44?
Counting and number patterns,"Find the missing numbers. (Note to students : Leave your answer in the form of a,b in ascending order)"
Counting and number patterns,"Find the missing numbers. (Note to students: Leave your answer in the form of a,b,c in ascending order) "
Counting and number patterns,Find the missing number.
Counting and number patterns,Which number  is 1 more than 37 ?
Counting and number patterns,Write the number which is 1 less 4 .
Counting and number patterns,Write the number which is 1 less than 55.
Counting and number patterns,Write the number which is 1 more than 24.
Counting and number patterns,Write the number which is 10 more than 75 .
Counting and number patterns,Find the number which is 10 less than 60.
Counting and number patterns,Find the number which is 10 more than 88.
Counting and number patterns,Find the number which is 1 more 99.
Counting and number patterns,Find the number which is 10 less than 45 .
Counting and number patterns,Find the number which is 10 less than 63.
Counting and number patterns,The number of stars  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of bananas  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of keys  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of boxes  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of teddy bears  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of mobile phones  is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,There is one teddy bear shown here. 1 is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of cups is an _____ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of pairs of spectacles is an ______ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number of buildings is an ______ number.  Note to students: Type the word 'even' or 'odd' into the field below.
Counting and number patterns,The number9is an ________ number.
Counting and number patterns,The number8is an ________ number.
Counting and number patterns,The number3is an _________ number.
Counting and number patterns,The number5is an ________ number.
Counting and number patterns,The number16is an ________ number.
Counting and number patterns,The number34is an ________ number.
Counting and number patterns,The number40is an ______ number.
Counting and number patterns,The number75is an ________ number.
Counting and number patterns,The number72is an ________ number.
Counting and number patterns,The number92is an ______ number
Counting and number patterns,The odd number after 5 is ________ .
Counting and number patterns,The odd number after 9 is ________ .
Counting and number patterns,The odd number after 17 is ________ .
Counting and number patterns,The even number after 36  is ________ .
Counting and number patterns,The even number after 48  is ________ .
Counting and number patterns,The even number after 62 is ________.
Counting and number patterns,The odd number after 87 is ________.
Counting and number patterns,The even number after 90 is ________.
Counting and number patterns,The odd number after 69 is ________.
Counting and number patterns,The even number after 46 is ________.
Counting and number patterns,There are 4 boxes on a table. Each box has 5 apples. How many apples are there altogether?
Counting and number patterns,There are 5 bowls on a table. Each bowl has 10 cherries. How many cherries are there altogether? 
Counting and number patterns,There are 7 boxes on a table. Each box has 4 mangoes. How many mangoes are there altogether?
Counting and number patterns,There are 8 baskets. Each basket has 6 watermelons. How many watermelons are there altogether?
Counting and number patterns,John has 2 fishbowls. Each fishbowl has 4 fish. How many fish are there altogether?
Counting and number patterns,There are 6 ponds in a garden. Each pond has 10 fish and 2 frogs. How many fish are there altogether?
Counting and number patterns,There are 3 birds a cage. How many birds are there in 6 cages?
Counting and number patterns,There are 4 books in bag. How many books are there in 8 bags?
Counting and number patterns,There are 20 seats in a bus and 4 seats in a car. How many seats are there in 4 buses?
Counting and number patterns,5 people can travel in a car. How many people can travel in 5 cars?
Counting and number patterns,"Fill in the blank.  15 , 20 , 25, 30 , 35 , _______"
Counting and number patterns,"Fill in the blank.  22 , 23 , 24 , 25 , 26 , ________"
Counting and number patterns,"Fill in the blank. 30 , 33 , 36 , 39 , 42 , ________"
Counting and number patterns,"Fill in the blank.  52 , 54 , 56 , _____ , 60"
Counting and number patterns,"Fill in the blanks.  ____ , 50 , 52 , 54 , ____ , 58 , 60  (Note to students: Leave your answers in the form of a,b in ascending order)  "
Counting and number patterns,"Fill in the blanks.  70 , 75 , _____, 85 , 90 , _____ , 100  (Note to students: Leave your answers in the form of a,b in ascending order) "
Counting and number patterns,"Fill in the blank. 20 , 30 , 40 , 50 , 60 , _______  "
Counting and number patterns,"Fill in the blanks.  40 , 50 , ____ , 70 , 80 , ____ , 100  (Note to students: Leave your answers in the form of a,b in ascending order) "
Counting and number patterns,"Fill in the blank. 65 , 70 , 75 , _____ , 85 , 90"
Counting and number patterns,"Fill in the blank.  74 , 76 , 78 , ____ , 82 , 84"
Counting and number patterns,"Fill in the blank.  100 , 200 , 300 , 400 , _____"
Counting and number patterns,"Fill in the blank.  500 , 600 , 700 , 800 , ____ ,1000"
Counting and number patterns,"Fill in the blank.  300 , 400 , _____ , 600 , 700 , 800"
Counting and number patterns,"Fill in the blank.  400 , 500 , 600 , ____ , 800"
Counting and number patterns,"Fill in the blanks. ____ , 200 , 300 , 400 , 500 , ___ , 700   (Note to students: Leave your answers in the form of a,b in ascending order)   "
Counting and number patterns,"Fill in the blanks.  200 , ____ , 400 , 500 , ____ , 700   (Note to students: Leave your answers in the form of a,b in ascending order)   "
Counting and number patterns,"Fill in the blanks.  200 , ____ , 400 , ____ , 600 , 700  (Note to students: Leave your answers in the form of a,b in ascending order) "
Counting and number patterns,"Fill in the blank.  200 , 300 , ____ , 500 , 600 "
Counting and number patterns,"Fill in the blank.  300, 400, 500, ______, 700"
Counting and number patterns,"Fill in the blanks.  600, ____, 800, _____, 1000  (Note to students: Leave your answers in the form of a,b in ascending order)  "
Counting and number patterns,Which animal is the fifth animal from the left?
Counting and number patterns,Which animal is the third animal from the right?
Counting and number patterns,Which animal is the fourth animal from the left?
Counting and number patterns,Which bird is the third bird from the right?
Counting and number patterns,Which bird is the second bird from the left?
Counting and number patterns,Which fruit is the third fruit from the left?
Counting and number patterns,Which item is the fifth item from the right?
Counting and number patterns,What is the colour of the circle that is sixth from the left?
Counting and number patterns,What is the colour of the third circle from the right?
Counting and number patterns,What is the colour of the eighth circle from the left?  
Counting and number patterns,Type the number three in the space below.
Counting and number patterns,Type the number six in the space below.
Counting and number patterns,Type the number 5 as a word in the space below.
Counting and number patterns,Type the number 9 as a word in the space below.
Counting and number patterns,Type the number 18 as a word in the space below.
Counting and number patterns,Type the number twelve in the space below.
Counting and number patterns,Type the number 19 as a word in the space below.
Counting and number patterns,Type the number twenty in the space below.
Counting and number patterns,Type the number seventeen in the space below.
Counting and number patterns,Type the number 11 as a word in the space below.
Place values,Which image has 6 cupcakes?
Place values,Which image shows 10 apples?
Place values,How many apples are there?
Place values,Which image shows 60 birds?
Place values,Which image shows 80 circles?
Place values,How many circles are there?
Place values,How many stars are there?
Place values,Which image has 60 circles?
Place values,How many circles are there?
Place values,How many cats are there shown here?
Place values,Which image has 93 circles?
Place values,Which image has 44 circles?
Place values,Which image has 43 cirlces?
Place values,Which image shows 82 circles?
Place values,"Fill in the missing number. 25 = ____ tens + ____ ones  Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing number. 23 = ____ tens + ____ ones  Notes to students: If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 29 = ____ tens +____ ones  Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 9 = ____ tens + ____ ones  Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 34 = ____ tens + ____ ones  Notes to students: If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 45 = ____tens + ____ones  Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing number. 78 = ____ tens + ____ ones  Notes to students: If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing  blanks. 53 = ____ tens + ____ ones  Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 67 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 38 = ____ tens +____ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 55 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 62 = ____ tens + ____ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 88 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 53 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 64 =  ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 66 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the blanks. 78 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 87 = ____ tens + _____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 92 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Place values,"Fill in the missing numbers. 99 = ____ tens + ____ ones Notes to students:If X is the answer to the first blank and Y is the answer to the second blank, type in your answers as X,Y without leaving spaces in between."
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,Add to find the total number of objects in both images.
Addition,4 + 2 = 6  Which image explains the mathematical sentence shown here? 
Addition,Add to find the total number of objects in both images.
Addition,3 + 2 = 5 Which image explains the mathematical sentence shown here?
Addition,5 + 3 = 8 Which image explains the mathematical sentence shown here?
Addition,5 + 2 = 7 Which image explains the mathematical sentence shown here?
Addition,2 + 2 = 4 Which image explains the mathematical sentence shown here?
Addition,1 + 1 = 2 Which image explains the mathematical sentence shown here?
Addition,2 + 1 = 3 Which image explains the mathematical sentence shown here?
Addition,6 + 2 = 8 Which image explains the mathematical sentence shown here?
Addition,3 + 3 = 6 Which image explains the mathematical sentence shown here?
Addition,Jerry ate 2 green apples and 1 red apple. How many apples did he eat in total?
Addition,Jane invited her friends for lunch. 4 boys and 2 girls came. How many people were present for lunch? 
Addition,Tom had 2 blue pens and 6 black pens. How many pens did Tom have in total?
Addition,There are two ponds in a garden. Both ponds had 4 fish each. How many fish are there in total in both ponds?
Addition,John has 2 marbles. His uncle gave him another 3 marbles. How many marbles does John have now?
Addition,Brad sold 2 pencils and 4 pens. How many items did he sell?
Addition,Alex went shopping. He bought 1 shirt and 3 hats. How many items did he buy?
Addition,Sam has 3 red balls and 5 blue balls. How many balls does Sam have?
Addition,"Andrew has a box of candies. Inside, there are 2 red and 6 blue candies. How many candies are there in the box?"
Addition,"One afternoon, John and Terry went fishing. John caught 6 fish and Terry caught 4 fish. How many fish did they catch altogether?"
Addition,"Last week, John caught 5 butterfiles. His younger brother Tim also tried to catch butterflies but failed. How many butterflies did Tim catch?"
Addition,Team A and Team B played a football match. Team A scored 3 goals and Team B scored 2 goals. How many goals were scored?
Addition,There are 4 apples in a basket. 2 more were added. How many apples are there in the basket now?
Addition,Tom has a packet of sweets. He gave all the sweets to Kelly and Mary. Kelly received 4 sweets and Mary received 6 sweets. How many sweets were there in the packet at first?
Addition,"Rodney had two boxes, box A and box B. Box A contained 3 eggs and box B contained 5 eggs. How many eggs are there altogether in both boxes?"
Addition,Choose the option that adds up to 1.
Addition,Choose the option that adds up to 3.
Addition,Choose the option that adds up to 5.
Addition,Choose the option that adds up to 2.
Addition,Choose the option that adds up to 4.
Addition,Choose the option that adds up to 7.
Addition,Choose the option that adds up to 6.
Addition,Choose the option that adds up to 9.
Addition,Choose the option that adds up to 8.
Addition,Choose the option that adds up to 10.
Addition,Fill in the blank. ___ + 2 = 2
Addition,Fill in the blank. 1 + ____ = 4
Addition,Fill in the blank. 2 + ____ = 6
Addition,Fill in the blank. 4 + ____ = 5
Addition,Fill in the blank. 3 + ___ = 7
Addition,Fill in the blank. ___ + 6 = 7
Addition,Fill in the blank. ___ + 3 = 8
Addition,Fill in the blank. ___ + 6 = 9
Addition,Fill in the blank. ___ + 5 = 9
Addition,Fill in the blank. ___ + 3 = 10
Addition,6 + 0 = ___
Addition,7 + 0 = ___
Addition,0 + 8 = ___
Addition,3 + 0 = _____
Addition,1 + 0 = ____
Addition,2 + 0 = ____
Addition,5 + 0 = ____
Addition,0 + 6 = ____
Addition,8 + 0 = ___
Addition,0 + 9 = ___
Addition,7 + 7 = ____
Addition,1 + 1 = ___
Addition,6 + 6 = ____
Addition,12 + 12 = ______
Addition,3 + 3 = _____
Addition,10 + 10 = _____
Addition,2 + 2 = ____
Addition,5 + 5 = ____
Addition,4 + 4 = ____
Addition,9 + 9 = ____
Addition,1 + 3 = ___
Addition,1 + 2 = ___
Addition,0 + 4 = ___
Addition,3 + 3 = ___
Addition,Add: 4 + 3 = _____
Addition,Add: 6 + 1 = _____
Addition,Add: 7 + 2 = _____
Addition,Add 2 to 4. What is the result?
Addition,Add 5 to 3. What is the result? 
Addition,Add 3 to 6. What is the result? 
Addition,I have 5 apples. Mary gives me 4 apples. How many apples do I have now?
Addition,I have 3 marbles. John gives me 2 marbles and Mary gives me 5 marbles. How many marbles do I have now?
Addition,3 + 3 + 3 = ____
Addition,4 + 3 + 2 + 1 = ____
Addition,2 + 2 + 2 + 2 = ____
Addition,Add: 6 + 5 = _____
Addition,Add: 6 + 6 = _____
Addition,Add: 7 + 7 = ______
Addition,Add: 8 + 5 = _____
Addition,Add: 9 + 6 = _____
Addition,Add: 4 + 7 = _____
Addition,Add: 9 + 8 = ______
Addition,Add: 8 + 8 = _____
Addition,Add: 5 + 9 = _____
Addition,Add: 7 + 9 = ______
Addition,John has 3 black cars and 5 red cars. How many cars does John have?
Addition,There are 5 girls and 8 boys in a class. Jerry gave each student 1 pencil each. How many pencils did Jerry give to his students?
Addition,John ate 1 apple and 3 oranges . How many fruits did he eat?
Addition,Bella bought 5 skirts and 7 hats. How many items did she buy in all ?
Addition,"At first, Andrew had 9 marbles in a box. His uncle gave him another 8 marbles. Find the total number of marbles in Andrew's box."
Addition,Charlie has 8 pens. Allen has 5 pens. How many pens do they have altogether?
Addition,A basket contains 6 apples and 7 bananas. How many fruits are there in the basket?
Addition,"Charlie bought 6 comic books,5 novels and 3 hats. How many items did Charlie buy ?"
Addition,Magdalene gave some sweets to her classmates. The boys received 9 sweets and the girls received 7 sweets. How many sweets did Magdalene give to her classmates? 
Addition,Henry polished 5 pairs of shoes and Allen polished 2 pairs of shoes. How many pairs of shoes did the two boys polish in total?
Addition,Enter the missing number in the box below. 4 + ____ = 9
Addition,Enter the missing number in the box below. 1 + 4 = _____
Addition,Enter the missing number in the box below. 4 + ____ = 11
Addition,Enter the missing number in the box below. 8 + ____ = 10
Addition,Enter the missing number in the box below. 0 + ____ = 8
Addition,Enter the missing number in the box below. 3 + 6 = _____
Addition,Enter the missing number in the box below. 2 + ____ = 8
Addition,Enter the missing number in the box below. 6 + ____ = 6
Addition,Enter the missing number in the box below. 3 + ____ = 5
Addition,Enter the missing number in the box below. 8 + ____ = 9
Addition,Add: 5 + 3 + 0 = ____
Addition,Add: 3 + 2 + 0 = ____
Addition,Add: 3 + 4 + 1 = ____
Addition,Add: 1 + 2 + 4 = ____
Addition,Add: 4 + 3 + 2 = ____
Addition,Add: 3 + 1 + 5 = _____
Addition,Add: 2 + 3 + 1 = ____
Addition,Add: 1 + 4 + 1 =_____
Addition,Add: 2 + 1 + 5 = ____
Addition,Add: 3 + 5 + 1 = ____
Addition,"A basket contains 2 apples, 4 bananas, and 3 mangoes. How many fruits are there in the basket?"
Addition,"In a garden, there are 3 apple trees, 2 mango trees, and  1 peach tree. How many fruit trees are there in the garden?"
Addition,"A packet contains 4 red pens, 2 black pens, and 1 green pen. How many pens are there?"
Addition,"Jenny went shopping. She purchased 1 bag, 3 hats and 1 skirt. How many items did she buy?"
Addition,"John sold 3 tables, 4 chairs and 1 basket. How many items did he sell?"
Addition,"Jason went shopping. He spent $2 on a hat, $6 on a shirt and $1 on a bag. How much money did Jason spend in all?"
Addition,"Kate sold  4 pencils, 2 pens and 1 book. How many items did she sell?"
Addition,"There are a number of balls in a box. There are 3 basketballs, 2 footballs, and 3 baseballs. How many balls are there altogether in the box?"
Addition,"A vegetable vendor sold 3 kg of tomatoes, 2 kg of onions and 4 kg of potatoes. How many kilograms of vegetables did the vegetable vendor sell?"
Addition,"Allen ordered 2 apple shakes, 1 mango shake and 1 banana shake. How many fruit shakes did Allen order in all?"
Addition,5 + 4 = ____
Addition,4 + 3 = ____ 
Addition,5 + 0 = ____
Addition,4 + 2 = ____
Addition,8 + 1 = ____
Addition,3 + 1 = ____
Addition,2 + 3 = ____
Addition,4 + 5 = ____
Addition,0 + 8 = ____
Addition,1 + 1 = ____
Addition,1 + 2 = ____
Addition,11 + 8 = ____
Addition,3 + 13 = ____
Addition,4 + 12 = ____
Addition,3 + 1 = ____
Addition,8 + 3 = ____
Addition,5 + 8 = ____
Addition,9 + 5 = ____
Addition,12 + 5 = ____
Addition,8 + 11 = ____
Addition,Add: 0 + 1 0 = ____
Addition,Add: 20 + 0 = ____
Addition,Add: 10 + 10 = ____
Addition,Add: 20 + 30 = ____
Addition,Add: 40 + 20 = ____
Addition,Add: 20 + 20 = ____
Addition,40 + 30 = ____
Addition,50 + 30 = _____
Addition,60 + 20 = ____
Addition,80 + 10 = ____
Addition,Add: 40 + 60 = ____
Addition,Add: 30 + 40 = ____
Addition,Add: 40 + 25 = ____
Addition,Add: 30 + 45 = ____
Addition,Add: 63 + 23 = ____
Addition,Add: 54 + 36 = ____
Addition,Add: 82 + 12 = ____
Addition,Add: 74 + 25 = ____
Addition,Add: 30 + 45 = ____
Addition,Add: 63 + 32 = ____
Addition,Add: 6 + 11 = ____
Addition,Add: 5 + 12 = ____
Addition,Add: 4 + 15 = ____
Addition,Add: 6 + 12 = ____
Addition,Add: 7 + 11 = ____
Addition,Add: 2 + 17 = ____
Addition,Add: 6 + 13 = ____
Addition,Add: 1 + 12 = ___
Addition,Add: 3 + 15 = ____
Addition,Add: 7 + 12 = ____
Addition,Add: 9 + 12 = ____
Addition,Add: 8 + 28 = ____
Addition,Add: 8 + 54 = ____
Addition,Add: 6 + 74 = ____
Addition,Add: 5 + 89 = ____
Addition,Add: 8 + 56 = ____
Addition,Add: 9 + 63 = ____
Addition,Add: 5 + 88 = ____
Addition,Add: 9 + 56 = ____
Addition,Add: 7 + 67 = ____
Addition,Add: 11 + 13 = ___
Addition,Add: 12 + 21 = ____
Addition,Add: 21 + 32 = ____
Addition,Add: 11+ 58 = ____
Addition,Add: 21 + 36 = ____
Addition,Add: 25 + 12 = ____
Addition,Add: 32 + 63 = ____
Addition,Add: 54 + 23 = ____
Addition,Add: 62 + 34 = ____ 
Addition,Add: 52 + 47 = ____
Addition,Add: 13 + 18 = ____
Addition,Add: 23 + 69 = ____
Addition,Add: 52 + 39 = ____
Addition,Add: 25 + 39 = ____
Addition,Add: 22 + 49 = ____
Addition,Add: 56 + 36 = ____
Addition,Add: 36 + 48 = ____
Addition,Add: 29 + 39 = ____
Addition,Add: 19 + 46 = ____
Addition,Add: 27 + 69 = ____
Addition,"In a basket, there are 7 apples and 10 bananas. How many fruits are there in the basket altogether?"
